Names,Prices
Ludwik Premium Washing Up With Pomegranate - 600 G,EGP 21.00
Mr. Food Golden Thai Long Grain Rice Jar - 1 Kg,EGP 35.00
Comfort Pink Liquid Softener - 1L,EGP 40.66
White Cling Film - 40cmx20m,EGP 19.00
Chefy Mix Syrian Shawarma Marinade - 40g,EGP 7.00
Shaheen Coffee Oriental Blend Meduim Turkish Coffee With Cardamom - 200gm,EGP 69.45
Soulina Cooking Oil - 700 Ml,EGP 29.75
Knorr Chicken Noodles Soup - 56 gm,EGP 10.00
Chefy Mix Seafood Marinade - 40g,EGP 7.00
Chefy Mix Bechamel Sauce - 75g,EGP 7.00
Heinz Tomato Ketchup – 200gm,EGP 15.00
Chefy Mix Original Chicken Fritto - 250g,EGP 14.00
"Harpic Harpic Power Plus Toilet Cleaner, 100% Limescale Remover, 700ml",EGP 41.00
Chefy Mix Burger Mix - 50g,EGP 7.00
Chefy Mix Shish Tawook Marinade - 40g,EGP 7.00
"Avanti 100% Pure Butter Ghee , 1800 Gm Net Weight",EGP 329.00
Negmet El Zeitoun Natural Red Vinegar - 900 Ml,EGP 15.00
Vitrac Black Cherry Jam - 430 Gm,EGP 25.50
Basak Mushroom Cream Soup - 60gm,EGP 11.00
General Dustpan+broom,EGP 65.00
Negmet El Zeitoun Natural Apple Vinegar - 300 Ml,EGP 23.00
"Harpic Harpic Power Plus Toilet Cleaner, 100% Limescale Remover, 450ml",EGP 34.00
Chefy Mix Sayadia Rice Mix - 50 GM,EGP 7.00
Chefy Mix Meat Shawarma Marinade - 110 Gm,EGP 14.50
Miro Full Cream Milk Powder Aluminum Box – 250gm,EGP 37.38
Calnort Lamb Flavor Stock - 8*80g Cubes,EGP 8.00
Sunny Cooking and Frying Oil - 750 ml,EGP 32.00
Chefy Mix Saffron Rice Mix - 900gm,EGP 53.00
Basak Tomato Cream Soup - 50 gm,EGP 8.00
Frida Floor 3*1 Lemon Scent -  2 Litres,EGP 42.23
Cif Regular Multi Purpose Cream Cleaner - 500 ml,EGP 49.00
Bonjorno Hot Chocolate – 12 Sachets,EGP 39.00
Calnort Chicken Stock - 250gm,EGP 29.00
